0,Review,Liked
"   जैंगो 'अनचेंड' और 'किल बिल' जैसी शानदार फिल्म फिल्में बनाने वाले क्वेंटिन टैरनटिनो के चाहने वालों के लिए वीकेंड पर एकदम मस्त ट्रीट है 'द हेटफुल ऐट'

","  Django 'Anchend' and 'Kill Bill' offers an excellent film movies is very cool treat on the weekend for those wanting to make a Quentin Tarntino The Hetful at '

",1
"  ये दृश्य इतनी सफाई से शूट किए गए हैं कि बिल्कुल वास्तविक लगते हैं

","  These scenes are shot so cleanly that seem absolutely real

",1
" आर माधवन आपको पसंद हैं तो यह फिल्म अवश्य देखें

"," R Madhavan sure to check out the movie you prefer

",1
" हिंदी और अंग्रेजी में एकसाथ बनी इस फिल्म की एक खासियत फिल्म में चार अलग-अलग टाइप की शॉर्ट स्टोरीज़ को इंडस्ट्री के टॉप डायरेक्टरों द्वारा निर्देशित करना है

"," In a typical film in Hindi and the film simultaneously in English to four different guided by the industry's top directors short stories of different type

",1
" हिंदुस्तान में यह सपना क्या कभी सच हो सकता है? दुनिया के किसी कोने में किसी भाषा के एकाध लेखक के साथ ऐसा कभी घट जाए तो उसकी कहानी कितनी नीरस और जड़ हो सकती है, वह आप हैप्पी एंडिंग में देख सकते हैं

"," This dream in India could ever come true? In any corner of the world with a couple of writers of a language should never happen if his story can be so dull and root, he can see the Happy Ending

",1
" हुमा की तारीफ करनी होगी, माधुरी के साथ लगभग हर सीन में वह आत्मविश्वास के साथ नजर आईं

"," Huma must appreciate, in almost every scene with Madhuri he appeared with confidence

",1
" हुमा कुरैशी का अभिनय अच्छा है

"," Huma good acting Qureshi

",1
" हुमा कुरैशी ने कुछ सीन्स में अच्छी ऐक्टिंग की है, हालांकि श्रुति को शायद हॉट सीन्स के लिए ही लिया गया है

"," Huma Qureshi is the best acting in some scenes, however, Shruti has been for probably hot scenes

",1
" हॉरर पसंद करने वालों के लिए यह अच्छे अनुभव के समान होता है

"," For the purpose of horror like this is the same good experience

",1
" हॉरर में इमोशनल के घोल से थोड़ा बदलाव फिल्म में महसूस होता है

"," Horror feel little change film solution Emotional

",1
" होना तो ये चाहिए था कि एजेंट विनोद का सफर इतना बढि़या हो कि दर्शकों को उसमें मजा आए

"," Be was then that Travel Agent Vinod so good that visitors come to enjoy it

",1
"‘एक चालीस की लास्ट लोकल’ का सफर थोड़ा छोटा होता तो ज्यादा मजा देता

","""Journey of a forty Last Local"" is slightly smaller so much fun

",1
"‘रांझणा’ के प्लस पाइंट्स हैं, पहला हाफ, एआर रहमान का संगीत, धनुष का कैरेक्टर और फिल्म के संवाद

","""Plus Points of Raanjhanaa 'first half, AR Rahman's music, the bow of the character and the film's dialogue

",1
" आरटीओ में क्लर्क होने के बावजूद रूसी के पास पैसे की तंगी हमेशा बनी रहती है क्योंकि वह ईमानदार तो इतना कि रेड सिग्नल में यदि वह आगे बढ़ जाए तो खुद पुलिस के पास जाकर फाइन भरता है

"," Despite clerk RTO tightness of money to Russian is always as it upright so that if the red signal, he fills out fines to police themselves may be moving

",1
"‘विक्की डोनर’ एंटरटेनमेंट और मैसेज दोनों देती है

","'Vicky Donor' offers both entertainment and messaging

",1
"‘हाउसफुल 2’ माइंडलेस कॉमेडी होने के बावजूद मनोरंजन करती है

","Housefull 2 ​​Maindles entertain Despite Comedy

",1
"1983 का समय दिखाया गया है जब भारत ने क्रिकेट में अपना पहला विश्वकप जीता था

","Shown 1983 when India had its first win in World Cup cricket

",1
